msv,classID,timeStamp,emotion,diemTB_baitap,soAnhChup,soLanHoc,baiHoanThanh,tbThoiGian1LanHoc,tbThoiGianHoanThanhBai,tbPhanTramMoiLanHoc,tgianHocTrongTuan,tgianHocGioHanhChinh,tgianHocNgoaiHanhChinh,trongTuan,cuoiTuan
student_028,GENE1001-2-3-24(N01),34:19.2,happy,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),34:24.2,happy,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),34:24.2,neutral,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_029,GENE1001-2-3-24(N01),56:37.1,sad,8.8,224,135,84,10.3,16.5,63.1,1389.9,1077.6,312.3,884.3,505.6
student_029,GENE1001-2-3-24(N01),01:59.8,sad,8.8,224,135,84,10.3,16.5,63.1,1389.9,1077.6,312.3,884.3,505.6
student_029,GENE1001-2-3-24(N01),02:07.0,sad,8.8,224,135,84,10.3,16.5,63.1,1389.9,1077.6,312.3,884.3,505.6
student_029,GENE1001-2-3-24(N01),13:27.2,sad,8.8,224,135,84,10.3,16.5,63.1,1389.9,1077.6,312.3,884.3,505.6
student_004,GENE1001-2-3-24(N01),31:12.0,neutral,8,203,131,61,21.4,46,53.1,2804.4,455.2,2349.2,1827.3,977.1
student_004,GENE1001-2-3-24(N01),31:33.6,neutral,8,203,131,61,21.4,46,53.1,2804.4,455.2,2349.2,1827.3,977.1
student_027,GENE1001-2-3-24(N01),12:52.2,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),12:57.9,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),13:02.7,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),13:02.7,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
